Knee Angle (deg),Torque (Nm/kg)
-73.0,0.20060982104238795
-72.0,0.18855190068202088
-71.0,0.17807620576055552
-70.0,0.1691093034098401
-69.0,0.16157776076172278
-68.0,0.15540814494805186
-67.0,0.15052702310067553
-66.0,0.14686096235144216
-65.0,0.14433652983219986
-64.0,0.14288029267479688
-63.0,0.1424188180110815
-62.0,0.14287867297290188
-61.0,0.14418642469210635
-60.0,0.14626864030054312
-59.0,0.1490518869300604
-58.0,0.1524627317125065
-57.0,0.15642774177972954
-56.0,0.1608734842635778
-55.0,0.16572652629589965
-54.0,0.17091343500854314
-53.0,0.17636077753335663
-52.0,0.18199512100218823
-51.0,0.1877430325468864
-50.0,0.19353107929929914
-49.0,0.1992858283912748
-48.0,0.20493384695466163
-47.0,0.21040170212130785
-46.0,0.2156159610230617
-45.0,0.2205031907917714
-44.0,0.2249899585592852
-43.0,0.22900283145745126
-42.0,0.232468376618118
-41.0,0.23531316117313353
-40.0,0.23746375225434607
-39.0,0.23884671699360402
-38.0,0.23938862252275536
-37.0,0.23901603597364854
-36.0,0.2376555244781317
-35.0,0.23524478339045132
-34.0,0.23177848992133765
-33.0,0.22726951086410346
-32.0,0.22173072094326873
-31.0,0.21517499488335365
-30.0,0.20761520740887832
-29.0,0.19906423324436293
-28.0,0.18953494711432756
-27.0,0.17904022374329234
-26.0,0.16759293785577745
-25.0,0.1552059641763029
-24.0,0.1418921774293889
-23.0,0.12766445233955553
-22.0,0.112535663631323
-21.0,0.09651868602921136
-20.0,0.07962639425774076
-19.0,0.06187166304143134
-18.0,0.04326736710480316
-17.0,0.023826381172376426
-16.0,0.0035615799686712357
-15.0,-0.01751416178179234
-14.0,-0.039387969354494054
-13.0,-0.06204696802491392
-12.0,-0.08547828306853165
-11.0,-0.10966903976082731
-10.0,-0.1346063633772806
-9.0,-0.16027737919337154
-8.0,-0.1866692124845799
-7.0,-0.21376898852638557
-6.0,-0.24156383259426842
-5.0,-0.27004086996370846
-4.0,-0.2991872259101854
-3.0,-0.328990025709179
-2.0,-0.35943639463616944
-1.0,-0.39051345796663645
0.0,-0.4222083409760599
1.0,-0.45450816893991974
2.0,-0.48740006713369566
